"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000003402",2549.83468101131,-1.17954691701272,0.160702904940796,-7.33992280629446,2.13717081865083e-13,2.15199744120522e-11,"CFLAR"
"ENSG00000004799",915.184370935033,-2.53889359347853,0.901525926217237,-2.81621805834427,0.00485926728219957,0.031789019776503,"PDK4"
"ENSG00000005471",33.7501002391693,1.22196997281874,0.447427789803151,2.73109985715539,0.00631233424122044,0.0391296717815708,"ABCB4"
"ENSG00000008256",3721.61626087467,-1.2004598452663,0.203623826911545,-5.8954782624127,3.7359769153238e-09,1.58395589691531e-07,"CYTH3"
"ENSG00000008311",722.919878410966,-1.10364981294621,0.167994254171729,-6.56956881285966,5.04611710211217e-11,3.35942118314583e-09,"AASS"
"ENSG00000009413",7595.17397189117,-1.11609976969215,0.166035387710858,-6.72205958669354,1.79173646985934e-11,1.2944693392782e-09,"REV3L"
"ENSG00000011198",1160.90457750161,-1.08575855523802,0.200904952169427,-5.4043394327203,6.50476626311232e-08,2.07656153907523e-06,"ABHD5"
"ENSG00000012048",221.650583103271,1.21361988589738,0.172522398620829,7.03456418180623,1.99884778800646e-12,1.74072630878768e-10,"BRCA1"
"ENSG00000013293",245.257844326637,2.84081531428159,0.368284018870716,7.71365350848645,1.22266134080871e-14,1.40702120441208e-12,"SLC7A14"
"ENSG00000013297",3440.46811483746,1.71977876519909,0.264427572878967,6.50378001989325,7.8326412814952e-11,4.92936264399099e-09,"CLDN11"
"ENSG00000015520",17.5557115046123,2.5704113282959,0.748586872285722,3.43368475117316,0.000595436267665068,0.00591070468783235,"NPC1L1"
"ENSG00000016391",92.3849548642713,2.04731242313095,0.467191171374648,4.38217275619102,1.17501577368771e-05,0.000208110514381574,"CHDH"
"ENSG00000020577",3108.87818675537,-1.2030449533342,0.1446494184691,-8.31697054897728,9.02401648093236e-17,1.35874700490001e-14,"SAMD4A"
"ENSG00000021645",36.0115488555043,-1.86616817045391,0.654183243358312,-2.85266886518486,0.00433537714241234,0.0292003600089487,"NRXN3"
"ENSG00000023909",1930.22443342482,-1.24199986494861,0.199206040336195,-6.23475002491147,4.52500075640261e-10,2.42200289655822e-08,"GCLM"
"ENSG00000025423",169.762985652598,2.18855251623205,0.521520697723265,4.19648256682109,2.71092318169796e-05,0.00042693727644512,"HSD17B6"
"ENSG00000025708",144.847225043617,-1.27070206461101,0.31782558538603,-3.99811130078663,6.38499278547255e-05,0.000886034614700674,"TYMP"
"ENSG00000028277",34.5319093743107,2.0228294667586,0.538037307950253,3.75964535705697,0.000170154392007103,0.00206894898839731,"POU2F2"
"ENSG00000035664",633.941924489473,-1.56451880756396,0.4515852564903,-3.4645037345181,0.000531210763961071,0.00541666874568153,"DAPK2"
"ENSG00000046653",1091.43818824187,-2.58081747768857,0.787241409778341,-3.27830503531978,0.00104432477335957,0.00943111907152241,"GPM6B"
"ENSG00000048540",60.1317818750316,-1.42652002169485,0.426911672424079,-3.3414875109758,0.000833307653207137,0.00778285194250446,"LMO3"
"ENSG00000049246",196.592140847822,2.16845099364842,0.288557997454859,7.51478390054897,5.70050163325769e-14,6.24767223220507e-12,"PER3"
"ENSG00000049759",1215.78012750229,1.08560206957961,0.192453821349499,5.64084444760461,1.69218185913841e-08,6.09904741221006e-07,"NEDD4L"
"ENSG00000054938",93.6084344315458,1.38260626590432,0.443524415135747,3.11731715035609,0.00182505120564245,0.0148053373484922,"CHRDL2"
"ENSG00000055163",284.817605894978,1.01569269968402,0.261755826212182,3.88030598738494,0.000104325134673653,0.00135396208261006,"CYFIP2"
"ENSG00000056736",74.0367154367489,1.02059295430259,0.286546691440564,3.56169861592796,0.000368463211576612,0.00399213907310746,"IL17RB"
"ENSG00000057657",212.837886891099,-1.26689267126553,0.302946980993225,-4.18189568059722,2.89088613091905e-05,0.00044913275270238,"PRDM1"
"ENSG00000060718",364.275806006126,-2.3774969346869,0.522519666442579,-4.55006210746743,5.36300837392329e-06,0.000104100515556961,"COL11A1"
"ENSG00000061337",66.8501297797301,1.01705565320503,0.22989903204626,4.42392316380168,9.6924504131939e-06,0.000174318715664755,"LZTS1"
"ENSG00000064201",17.0193332164227,1.60418016845374,0.465433214060453,3.44663878724689,0.000567606935264886,0.00570475067626486,"TSPAN32"
"ENSG00000064309",349.445644761808,1.65069106321185,0.304014952100067,5.42963775896299,5.64685505602719e-08,1.83790872338695e-06,"CDON"
"ENSG00000065809",2260.99556545531,1.01761322771869,0.181235421150084,5.61486944031759,1.96710716051621e-08,7.02706506941833e-07,"FAM107B"
"ENSG00000066468",28.7880205422915,2.36323833042074,0.70651497142165,3.34492321608617,0.000823053528272235,0.0076960042913488,"FGFR2"
"ENSG00000067082",3246.62929567202,-1.10640882668182,0.152384212731437,-7.26065257581346,3.85227238407806e-13,3.78438782804156e-11,"KLF6"
"ENSG00000067798",705.928596242403,-2.25485878893793,0.392498342274294,-5.74488742009042,9.19821638164859e-09,3.50336794621136e-07,"NAV3"
"ENSG00000068383",1249.04745116525,-1.3909159285187,0.303606877296741,-4.58130573623087,4.62081719881095e-06,9.14569851229031e-05,"INPP5A"
"ENSG00000068831",97.9255726495818,-1.95236622017191,0.32770733328058,-5.95765191040235,2.55887819649011e-09,1.11723811988217e-07,"RASGRP2"
"ENSG00000069431",850.389567167228,-1.04266288099339,0.307922219567387,-3.3861242051914,0.000708872916737465,0.00683029251437695,"ABCC9"
"ENSG00000069535",395.33997715853,-1.20178068413176,0.397545045299739,-3.02300506154125,0.00250278057168868,0.0191191549504392,"MAOB"
"ENSG00000070404",2130.30251692001,-1.86083228549703,0.301870572252709,-6.16433815197874,7.07785472294736e-10,3.64317308119505e-08,"FSTL3"
"ENSG00000070808",23.6482398017847,2.26891051880483,0.416886724536363,5.44251084351073,5.25347615203953e-08,1.72732151603079e-06,"CAMK2A"
"ENSG00000070882",1109.06025148813,1.09937583833099,0.215922364575295,5.09153297062762,3.55180093660551e-07,9.27440273738273e-06,"OSBPL3"
"ENSG00000071282",3664.48276756859,-1.591900061057,0.228268371626688,-6.97380916030016,3.08472467859311e-12,2.56175254107286e-10,"LMCD1"
"ENSG00000072163",666.17191076849,-1.2982337793847,0.337530685147057,-3.84626890683755,0.000119930137626899,0.0015295298864047,"LIMS2"
"ENSG00000072571",36.6753852814803,-1.5371853907176,0.309573942600622,-4.96548701032213,6.85288800354873e-07,1.66275419616225e-05,"HMMR"
"ENSG00000072958",2132.09145131494,-1.08454742830316,0.121925697045142,-8.89515052681316,5.83401669768281e-19,1.14624198800449e-16,"AP1M1"
"ENSG00000073756",71.8031456343594,1.2317370197698,0.467891033352339,2.63252965320723,0.00847516243641174,0.049526058038821,"PTGS2"
"ENSG00000074590",413.194557248276,-1.36162774428962,0.189504256629319,-7.18520928505078,6.71043156155426e-13,6.32232531509946e-11,"NUAK1"
"ENSG00000074660",29.0409053347646,-1.32999095333337,0.338560212168705,-3.92837346365625,8.55223293416293e-05,0.00114629804328036,"SCARF1"
"ENSG00000075213",715.970034549921,1.22662123039105,0.226637226294064,5.4122672186232,6.22317271035289e-08,2.00924920914821e-06,"SEMA3A"
"ENSG00000075240",578.186415146855,1.15972345055414,0.19163904008846,6.05160331641618,1.4341126131447e-09,6.65849807215398e-08,"GRAMD4"
"ENSG00000077063",330.665391622192,1.06765417077331,0.172928113999665,6.17397683973685,6.65933002785552e-10,3.47211864332622e-08,"CTTNBP2"
